Team,bname,bcluster
ATL,Jason Heyward,1
KCR,Alex Gordon,1
LAD,Andre Ethier,1
PIT,Garrett Jones,1
PIT,Justin Morneau,1
SEA,Raul Ibanez,1
TOR,Adam Lind,1
ARI,Aaron Hill,2
ARI,Cody Ross,2
BAL,J.J. Hardy,2
CIN,Brandon Phillips,2
COL,Michael Cuddyer,2
DET,Austin Jackson,2
DET,Torii Hunter,2
DET,Jhonny Peralta,2
LAD,Hanley Ramirez,2
MIL,Aramis Ramirez,2
NYY,Vernon Wells,2
PIT,Gaby Sanchez,2
STL,Yadier Molina,2
TEX,Alex Rios,2
WSN,Ian Desmond,2
SFG,Pablo Sandoval,2
WSN,Corey Brown,3
ARI,Miguel Montero,4
BOS,Stephen Drew,4
CLE,Jason Kubel,4
DET,Alex Avila,4
KCR,Eric Hosmer,4
NYM,Ike Davis,4
NYY,Lyle Overbay,4
NYY,Travis Hafner,4
OAK,Seth Smith,4
SDP,Will Venable,4
TBR,Luke Scott,4
TEX,Mitch Moreland,4
NYY,Alex Rodriguez,5
PIT,Russell Martin,5
BAL,Matt Wieters,5
CLE,Asdrubal Cabrera,5
COL,Dexter Fowler,5
MIN,Ryan Doumit,5
PIT,Neil Walker,5
SDP,Chase Headley,5
SEA,Justin Smoak,5
SEA,Kendrys Morales,5
SFG,Andres Torres,5
TEX,Lance Berkman,5
CHW,Blake Tekotte,6
SDP,Reymond Fuentes,6
ARI,Matt Davidson,6
CHC,Mike Olt,6
STL,Brock Peterson,6
ATL,Freddie Freeman,7
BAL,Chris Davis,7
CIN,Jay Bruce,7
COL,Carlos Gonzalez,7
LAA,Josh Hamilton,7
PHI,Ryan Howard,7
BAL,Adam Jones,8
BOS,Mike Napoli,8
LAA,Mark Trumbo,8
LAD,Matt Kemp,8
MIA,Giancarlo Stanton,8
MIL,Corey Hart,8
NYY,Alfonso Soriano,8
SDP,Carlos Quentin,8
SFG,Hunter Pence,8
TEX,Nelson Cruz,8
ARI,Adam Eaton,9
