Team,Starter,OtherTeam,OtherStarter
ARI,Wade Miley,WSN,Gio Gonzalez
ATL,Julio Teheran,PHI,Zach Miner
BAL,Chris Tillman,BOS,John Lackey
BOS,John Lackey,BAL,Chris Tillman
CHC,Jeff Samardzija,STL,Jake Westbrook
CHW,Jose Quintana,KCR,Bruce Chen
CLE,Ubaldo Jimenez,MIN,Scott Diamond
CIN,Greg Reynolds,PIT,Brandon Cumpton
COL,Jeff Francis,LAD,Hyun-Jin Ryu
DET,Justin Verlander,MIA,Henderson Alvarez
HOU,Erik Bedard,NYY,David Huff
KCR,Bruce Chen,CHW,Jose Quintana
LAA,Jason Vargas,TEX,Yu Darvish
LAD,Hyun-Jin Ryu,COL,Jeff Francis
MIA,Henderson Alvarez,DET,Justin Verlander
MIL,Marco Estrada,NYM,Jonathon Niese
MIN,Scott Diamond,CLE,Ubaldo Jimenez
NYM,Jonathon Niese,MIL,Marco Estrada
NYY,David Huff,HOU,Erik Bedard
OAK,Sonny Gray,SEA,Erasmo Ramirez
PHI,Zach Miner,ATL,Julio Teheran
PIT,Brandon Cumpton,CIN,Greg Reynolds
STL,Jake Westbrook,CHC,Jeff Samardzija
SDP,Tyson Ross,SFG,Guillermo Moscoso
SFG,Guillermo Moscoso,SDP,Tyson Ross
SEA,Erasmo Ramirez,OAK,Sonny Gray
TBR,Matt Moore,TOR,Todd Redmond
TEX,Yu Darvish,LAA,Jason Vargas
TOR,Todd Redmond,TBR,Matt Moore
WSN,Gio Gonzalez,ARI,Wade Miley
